2015-04-08,07:01:59	2015-04-08,07:18:39	33065
2015-04-08,07:18:39	2015-04-08,07:35:19	32208
2015-04-08,07:35:19	2015-04-08,07:51:59	43802
2015-04-08,07:51:59	2015-04-08,08:08:39	38535
2015-04-08,08:08:39	2015-04-08,08:25:19	42676
2015-04-08,08:25:19	2015-04-08,08:41:59	65048
2015-04-08,08:41:59	2015-04-08,08:58:39	131263
2015-04-08,08:58:39	2015-04-08,09:15:19	105583
2015-04-08,09:15:19	2015-04-08,09:31:59	47511
2015-04-08,09:31:59	2015-04-08,09:48:39	47369
2015-04-08,09:48:39	2015-04-08,10:05:19	44808
2015-04-08,10:05:19	2015-04-08,10:21:59	43429
2015-04-08,10:21:59	2015-04-08,10:38:39	39637
2015-04-08,10:38:39	2015-04-08,10:55:19	46978
2015-04-08,10:55:19	2015-04-08,11:11:59	54435
2015-04-08,11:11:59	2015-04-08,11:28:39	44887
2015-04-08,11:28:39	2015-04-08,11:45:19	57215
2015-04-08,11:45:19	2015-04-08,12:01:59	73340
2015-04-08,12:01:59	2015-04-08,12:18:39	65853
2015-04-08,12:18:39	2015-04-08,12:35:19	84945
2015-04-08,12:35:19	2015-04-08,12:51:59	81041
2015-04-08,12:51:59	2015-04-08,13:08:39	71237
2015-04-08,13:08:39	2015-04-08,13:25:19	53922
2015-04-08,13:25:19	2015-04-08,13:41:59	51956
2015-04-08,13:41:59	2015-04-08,13:58:39	58863
2015-04-08,13:58:39	2015-04-08,14:15:19	67254
2015-04-08,14:15:19	2015-04-08,14:31:59	55471
2015-04-08,14:31:59	2015-04-08,14:48:39	41170
2015-04-08,14:48:39	2015-04-08,15:05:19	56996
2015-04-08,15:05:19	2015-04-08,15:21:59	55087
2015-04-08,15:21:59	2015-04-08,15:38:39	55414
2015-04-08,15:38:39	2015-04-08,15:55:19	50900
2015-04-08,15:55:19	2015-04-08,16:11:59	55229
2015-04-08,16:11:59	2015-04-08,16:28:39	45903
2015-04-08,16:28:39	2015-04-08,16:45:19	55122
2015-04-08,16:45:19	2015-04-08,17:01:59	59584
2015-04-08,17:01:59	2015-04-08,17:18:39	52044
2015-04-08,17:18:39	2015-04-08,17:35:19	40427
2015-04-08,17:35:19	2015-04-08,17:51:59	48133
2015-04-08,17:51:59	2015-04-08,18:08:39	31404
2015-04-08,18:08:39	2015-04-08,18:25:19	25855
2015-04-08,18:25:19	2015-04-08,18:41:59	28611
2015-04-08,18:41:59	2015-04-08,18:58:39	40792
2015-04-08,18:58:39	2015-04-08,19:15:19	26559
2015-04-08,19:15:19	2015-04-08,19:31:59	18457
2015-04-08,19:31:59	2015-04-08,19:48:39	28554
2015-04-08,19:48:39	2015-04-08,20:05:19	23489
2015-04-08,20:05:19	2015-04-08,20:21:59	24784
2015-04-08,20:21:59	2015-04-08,20:38:39	25137
2015-04-08,20:38:39	2015-04-08,20:55:19	23390
2015-04-08,20:55:19	2015-04-08,21:11:59	21550
2015-04-08,21:11:59	2015-04-08,21:28:39	25888
2015-04-08,21:28:39	2015-04-08,21:45:19	22437
2015-04-08,21:45:19	2015-04-08,22:01:59	20478
2015-04-08,22:01:59	2015-04-08,22:18:39	21124
2015-04-08,22:18:39	2015-04-08,22:35:19	17505
2015-04-08,22:35:19	2015-04-08,22:51:59	18250
2015-04-08,22:51:59	2015-04-08,23:08:39	20054
2015-04-08,23:08:39	2015-04-08,23:25:19	18487
2015-04-08,23:25:19	2015-04-08,23:41:59	17531
2015-04-08,23:41:59	2015-04-08,23:58:39	17615
2015-04-08,23:58:39	2015-04-09,00:15:19	16411
2015-04-09,00:15:19	2015-04-09,00:31:59	15474
2015-04-09,00:31:59	2015-04-09,00:48:39	25054
2015-04-09,00:48:39	2015-04-09,01:05:19	19267
2015-04-09,01:05:19	2015-04-09,01:21:59	18999
2015-04-09,01:21:59	2015-04-09,01:38:39	18374
2015-04-09,01:38:39	2015-04-09,01:55:19	17610
2015-04-09,01:55:19	2015-04-09,02:11:59	95718
2015-04-09,02:11:59	2015-04-09,02:28:39	53376
2015-04-09,02:28:39	2015-04-09,02:45:19	22661
2015-04-09,02:45:19	2015-04-09,03:01:59	16638
2015-04-09,03:01:59	2015-04-09,03:18:39	11641
2015-04-09,03:18:39	2015-04-09,03:35:19	11972
2015-04-09,03:35:19	2015-04-09,03:51:59	16393
2015-04-09,03:51:59	2015-04-09,04:08:39	23242
2015-04-09,04:08:39	2015-04-09,04:25:19	25481
2015-04-09,04:25:19	2015-04-09,04:41:59	20734
2015-04-09,04:41:59	2015-04-09,04:58:39	16365
2015-04-09,04:58:39	2015-04-09,05:15:19	21670
2015-04-09,05:15:19	2015-04-09,05:31:59	21076
2015-04-09,05:31:59	2015-04-09,05:48:39	16852
2015-04-09,05:48:39	2015-04-09,06:05:19	19136
2015-04-09,06:05:19	2015-04-09,06:21:59	22809
2015-04-09,06:21:59	2015-04-09,06:38:39	24464
2015-04-09,06:38:39	2015-04-09,06:55:19	19686
2015-04-09,06:55:19	2015-04-09,07:11:59	10197
